,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,-0.01
2,20,0.0,200,4020,-0.02
3,20,-1.0,300,6020,-0.65
4,20,0.0,400,8020,-0.53
5,20,0.0,500,10020,0.08
6,20,0.0,600,12020,-0.23
7,20,0.0,700,14020,0.09
8,20,0.0,800,16020,0.11
9,20,0.0,900,18020,0.26
10,20,2.0,1000,20020,0.47
11,20,0.0,1100,22020,0.61
12,20,0.0,1200,24020,0.68
13,20,0.0,1300,26020,0.7
14,20,1.0,1400,28020,0.73
15,20,1.0,1500,30020,0.69
16,20,1.0,1600,32020,0.98
17,20,1.0,1700,34020,0.98
18,20,1.0,1800,36020,1.12
19,20,1.0,1900,38020,0.97
20,20,2.0,2000,40020,1.01
21,20,1.0,2100,42020,1.1
22,20,1.0,2200,44020,1.16
23,20,2.0,2300,46020,1.17
24,20,1.0,2400,48020,1.07
25,20,1.0,2500,50020,1.29
26,20,1.0,2600,52020,1.36
27,20,2.0,2700,54020,1.33
28,20,2.0,2800,56020,1.35
29,20,1.0,2900,58020,1.27
30,20,2.0,3000,60020,1.21
31,20,1.0,3100,62020,1.3
32,20,1.0,3200,64020,1.31
33,20,2.0,3300,66020,1.36
34,20,2.0,3400,68020,1.34
35,20,2.0,3500,70020,1.35
36,20,2.0,3600,72020,1.49
37,20,1.0,3700,74020,1.41
38,20,2.0,3800,76020,1.56
39,20,1.0,3900,78020,1.44
40,20,1.0,4000,80020,1.53
41,20,1.0,4100,82020,1.35
42,20,1.0,4200,84020,1.47
43,20,2.0,4300,86020,1.48
44,20,1.0,4400,88020,1.63
45,20,1.0,4500,90020,1.62
46,20,2.0,4600,92020,1.62
47,20,2.0,4700,94020,1.6
48,20,2.0,4800,96020,1.52
49,20,2.0,4900,98020,1.71
50,20,2.0,5000,100020,1.63
